Takt;Sprechgeschwindigkeit (Silben/sec);Durchschnittliche Tonlage;Schallstaerke
1;3,9;niedrig;normal
2;3,8;niedrig;normal
3;3,8;niedrig;normal
4;3,6;niedrig;normal
5;3,7;sehr niedrig;normal
6;3,6;sehr niedrig;sehr hoch
7;3,8;niedrig;hoch
8;3,6;niedrig;hoch
9;3,5;niedrig;normal
10;3,6;niedrig;normal
11;3,9;normal;normal
12;4,4;normal;hoch
13;4,7;hoch;hoch
14;5,0;hoch;hoch
15;4,8;hoch;sehr hoch
16;4,4;normal;normal
17;4,2;hoch;hoch
18;4,5;normal;hoch
19;4,9;hoch;sehr hoch
20;5,5;hoch;sehr hoch
21;5,9;sehr hoch;sehr hoch
22;5,8;sehr hoch;sehr hoch
23;5,3;hoch;sehr hoch
24;4,1;normal;sehr hoch
25;4,4;niedrig;sehr hoch
26;4,5;normal;hoch
27;4,6;normal;hoch
28;5,0;normal;sehr hoch
29;4,8;normal;sehr hoch
30;4,4;normal;normal
31;4,0;normal;hoch
32;3,8;normal;hoch
33;3,6;normal;normal
34;3,5;normal;normal
35;3,6;niedrig;normal
36;3,6;normal;normal
37;3,8;normal;normal
38;3,6;niedrig;normal
39;3,6;niedrig;normal
40;3,2;normal;hoch
41;3,1;normal;hoch
42;3,7;normal;hoch
43;3,3;niedrig;hoch
44;3,4;normal;normal
45;3,0;normal;normal
46;3,6;niedrig;normal
47;2,6;normal;hoch
48;2,8;niedrig;sehr hoch
49;3,0;sehr niedrig;sehr hoch
50;3,2;sehr niedrig;normal
