Frame;Brauenabstand;Augenoeffnung;Mundoeffnung
1;83;62;157
2;78;53;146
3;74;46;131
4;58;37;104
5;43;34;67
6;42;29;26
7;42;32;16
8;43;32;19
9;42;32;21
10;42;32;21
11;43;32;22
12;40;34;26
13;34;29;19
14;29;26;5
15;32;19;0
16;32;21;0
17;32;19;0
18;32;21;0
19;32;21;0
20;32;21;0
21;32;21;2
22;29;22;0
23;42;35;14
24;61;46;11
25;69;42;37
26;70;43;56
27;74;42;54
28;74;43;50
29;74;43;53
30;74;43;53
31;75;46;53
32;70;42;53
33;69;26;48
34;58;27;42
35;35;26;29
36;40;29;26
37;42;32;19
38;43;32;21
39;42;32;21
40;42;32;21
41;46;37;19
42;48;48;11
43;42;46;2
44;53;48;0
45;56;54;0
46;46;56;0
47;50;56;2
48;46;54;0
49;43;53;2
50;42;46;11
51;42;32;21
52;43;35;26
53;53;48;32
54;69;61;53
55;78;62;82
56;82;62;146
57;83;62;150
58;83;62;157
59;83;62;157
60;83;62;157
